Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.core.protocol.HeartbeatMessage,1,0,5,1,5,1,4,23,1,19,6,NO
Public Class,io.seata.core.protocol.IncompatibleVersionException,0,0,1,0,1,0,1,5,2,0,1,NO
Public Class,io.seata.core.protocol.MergedWarpMessage,1,0,2,2,5,0,2,16,2,75,3,NO
Public Class,io.seata.core.protocol.MergedWarpMessageTest,3,0,2,0,2,1,1,13,1,0,2,NO
Public Class,io.seata.core.protocol.MergeResultMessage,2,0,4,1,7,0,4,22,2,25,6,NO
Public Class,io.seata.core.protocol.MergeResultMessageTest,5,0,3,0,3,1,2,24,1,0,3,NO
Public Class,io.seata.core.protocol.MessageFuture,2,0,7,4,7,0,7,41,1,67,11,NO
Public Class,io.seata.core.protocol.MessageFutureTest,2,0,9,0,9,1,8,121,1,0,15,NO
Public Class,io.seata.core.protocol.RegisterRMRequest,1,0,6,1,19,0,6,27,3,50,6,NO
Public Class,io.seata.core.protocol.RegisterRMRequestTest,3,0,3,0,3,1,2,24,1,0,3,NO
Public Class,io.seata.core.protocol.RegisterRMResponse,1,0,3,0,17,0,3,13,4,0,3,NO
Public Class,io.seata.core.protocol.RegisterTMRequest,3,0,5,0,18,0,5,45,3,0,9,NO
Public Class,io.seata.core.protocol.RegisterTMRequestTest,2,0,0,0,0,0,0,9,1,0,0,NO
Public Class,io.seata.core.protocol.RegisterTMResponse,1,0,3,0,17,0,3,13,4,0,3,NO
Public Class,io.seata.core.protocol.RpcMessage,1,0,15,6,15,0,15,57,1,84,15,NO
Public Class,io.seata.core.protocol.RpcMessageTest,1,0,1,0,1,0,1,31,1,0,1,NO
Public Class,io.seata.core.protocol.transaction.BranchCommitRequest,4,0,2,0,18,0,2,10,5,0,2,NO
Public Class,io.seata.core.protocol.transaction.BranchCommitResponse,1,0,1,0,17,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.BranchRegisterRequest,5,1,13,5,18,0,13,61,4,78,13,NO
Public Class,io.seata.core.protocol.transaction.BranchRegisterResponse,1,0,4,1,13,0,4,26,4,25,4,NO
Public Class,io.seata.core.protocol.transaction.BranchReportRequest,6,0,15,6,20,0,15,71,4,81,15,NO
Public Class,io.seata.core.protocol.transaction.BranchReportResponse,1,0,1,0,10,0,1,6,4,0,1,NO
Public Class,io.seata.core.protocol.transaction.BranchRollbackRequest,4,0,2,0,18,0,2,10,5,0,2,NO
Public Class,io.seata.core.protocol.transaction.BranchRollbackRequestTest,3,0,1,0,1,0,1,13,1,0,1,NO
Public Class,io.seata.core.protocol.transaction.BranchRollbackResponse,1,0,1,0,17,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.BranchRollbackResponseTest,5,0,1,0,1,0,1,14,1,0,1,NO
Public Class,io.seata.core.protocol.transaction.GlobalBeginRequest,4,0,7,2,12,0,7,34,4,57,7,NO
Public Class,io.seata.core.protocol.transaction.GlobalBeginResponse,1,0,5,2,14,0,5,20,4,60,5,NO
Public Class,io.seata.core.protocol.transaction.GlobalBeginResponseTest,3,0,3,3,3,0,3,22,1,77,3,NO
Public Class,io.seata.core.protocol.transaction.GlobalCommitRequest,4,0,2,0,12,0,2,10,5,0,2,NO
Public Class,io.seata.core.protocol.transaction.GlobalCommitResponse,1,0,1,0,13,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.GlobalLockQueryRequest,4,0,2,0,20,0,2,10,5,0,2,NO
Public Class,io.seata.core.protocol.transaction.GlobalLockQueryResponse,1,0,3,1,12,0,3,13,4,33,3,NO
Public Class,io.seata.core.protocol.transaction.GlobalReportRequest,5,0,4,1,14,0,4,17,5,50,4,NO
Public Class,io.seata.core.protocol.transaction.GlobalReportResponse,1,0,1,0,13,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.GlobalRollbackRequest,4,0,2,0,12,0,2,10,5,0,2,NO
Public Class,io.seata.core.protocol.transaction.GlobalRollbackResponse,1,0,1,0,13,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.GlobalStatusRequest,4,0,2,0,12,0,2,10,5,0,2,NO
