Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.sample.MpxjQuery,14,0,0,0,17,16,1,288,1,0,61,YES
Class,net.sf.mpxj.synchro.DatatypeConverter,4,0,0,0,17,1,16,187,1,0,30,YES
Class,net.sf.mpxj.synchro.MapRow,3,0,12,1,12,1,11,69,1,75,15,YES
Public Class,net.sf.mpxj.Task,34,0,366,12,368,6,358,2266,2,99,525,YES
Public Class,net.sf.mpxj.TaskContainer,6,0,7,0,29,1,5,144,5,0,28,YES
Public Class,net.sf.mpxj.turboproject.TurboProjectReader,39,0,16,3,26,16,2,347,3,66,47,YES
Public Class,net.sf.mpxj.ActivityCode,1,0,5,3,5,0,5,29,1,60,5,NO
Public Class,net.sf.mpxj.ActivityCodeContainer,0,0,0,0,10,0,0,3,3,0,0,NO
Public Class,net.sf.mpxj.ActivityCodeValue,1,0,8,5,8,0,8,43,1,70,8,NO
Abstract Class,net.sf.mpxj.asta.AbstractFileFormat,2,8,21,0,21,2,2,792,1,0,5,NO
Public Class,net.sf.mpxj.asta.AstaDatabaseFileReader,10,0,18,6,26,15,3,240,3,76,34,NO
Public Class,net.sf.mpxj.asta.AstaDatabaseReader,8,0,19,8,27,12,7,240,3,75,33,NO
Public Class,net.sf.mpxj.asta.AstaFileReader,4,0,2,0,10,0,2,34,3,0,4,NO
Class,net.sf.mpxj.asta.AstaReader,28,0,33,4,33,20,13,831,1,81,141,NO
Class,net.sf.mpxj.asta.AstaTextFileReader,21,0,12,4,20,10,2,274,3,70,39,NO
Class,net.sf.mpxj.asta.ColumnDefinition,0,0,3,2,3,0,3,18,1,33,3,NO
Class,net.sf.mpxj.asta.DatatypeConverter,1,0,0,0,7,0,7,191,1,0,28,NO
Class,net.sf.mpxj.asta.FileFormat10008,0,0,18,0,39,0,1,766,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat11004,0,0,18,0,39,0,1,780,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat12002,0,0,18,0,39,0,1,784,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat12005,0,0,18,0,39,0,1,790,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat13001,0,0,18,0,39,0,1,811,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat13004,0,0,18,0,39,0,1,813,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat8020,0,0,18,0,39,0,1,823,2,0,18,NO
Class,net.sf.mpxj.asta.FileFormat9006,0,0,18,0,39,0,1,832,2,0,18,NO
Class,net.sf.mpxj.asta.MapRow,4,3,16,2,16,0,16,122,1,81,26,NO
Class,net.sf.mpxj.asta.MpdResultSetRow,1,0,1,0,17,0,1,86,2,0,20,NO
Class,net.sf.mpxj.asta.RowComparator,2,0,2,1,2,0,2,25,1,0,4,NO
Class,net.sf.mpxj.asta.RowHeader,0,0,7,4,7,1,6,64,1,57,12,NO
Class,net.sf.mpxj.asta.SqliteResultSetRow,4,0,2,0,18,0,2,120,2,0,27,NO
Class,net.sf.mpxj.asta.TableDefinition,1,0,3,2,3,0,3,18,1,33,3,NO
